<hgeokg/resource/275120593>	<hgeokg/schema/addrPostcode>	addrPostcode-10034
<hgeokg/resource/5709611765>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/420863273>
<hgeokg/resource/164866815>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/440122863>
<hgeokg/resource/6187197234>	<Point_traffic-Adjacent-Line_roads>	<hgeokg/resource/223879815>
<hgeokg/resource/650900555>	<hgeokg/schema/level>	level--2
<hgeokg/resource/420863271>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/420863274>
<hgeokg/resource/223879811>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/420863271>
<hgeokg/resource/690415948>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/813505723>
<hgeokg/resource/420863275>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/223902550>
<hgeokg/resource/226007078>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/586133544>
<hgeokg/resource/650900555>	<hgeokg/schema/voltage>	voltage-625
<hgeokg/resource/440122863>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/RouteBicycle>
<hgeokg/resource/164866814>	<hgeokg/schema/oneway>	oneway-no
<hgeokg/resource/650900555>	<hgeokg/schema/layer>	layer--2
<hgeokg/resource/711202094>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/5709614591>
<hgeokg/resource/690415948>	<hgeokg/schema/tigerReviewed>	tigerReviewed-no
<hgeokg/resource/490899140>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Secondary>
<hgeokg/resource/5709614591>	<http://www.w3.org/2000/01/rdf-schema#label>	Guadalupe
<hgeokg/resource/690415944>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/223879815>
<hgeokg/resource/5709625271>	<hgeokg/schema/openingHours>	openingHours-Mo-Th 10:00-21:00; Fr, Sa 10:00-22:00; Su 12:00-20:00
<hgeokg/resource/623836443>	<hgeokg/schema/tigerReviewed>	tigerReviewed-no
<hgeokg/resource/420863272>	<http://www.w3.org/2000/01/rdf-schema#label>	West 207th Street
<hgeokg/resource/420863272>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/420863274>
<hgeokg/resource/223902550>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/813505723>
<hgeokg/resource/223902543>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/813505723>
<hgeokg/resource/813505724>	<hgeokg/schema/level>	level-2
<hgeokg/resource/813505723>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/5673547>
<hgeokg/resource/813505721>	<hgeokg/schema/railwayTrackRef>	railwayTrackRef-1
<hgeokg/resource/440122863>	<hgeokg/schema/wikipedia>	wikipedia-en:Tenth Avenue (Manhattan)
<hgeokg/resource/5709625271>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/711202094>
<hgeokg/resource/164873891>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/420863271>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/420863275>
<hgeokg/resource/623836443>	<hgeokg/schema/sidewalk>	sidewalk-separate
<hgeokg/resource/5673547>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/164866814>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/RouteBicycle>
<hgeokg/resource/46334608>	<http://www.w3.org/2000/01/rdf-schema#label>	West 207th Street
<hgeokg/resource/440122863>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/226007078>
