<hgeokg/resource/3974095816>	<hgeokg/schema/addrCountry>	addrCountry-US
<hgeokg/resource/42496352>	<http://www.w3.org/2000/01/rdf-schema#label>	Interchem Building
<hgeokg/resource/1753205377>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Point>
<hgeokg/resource/4708892893>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/7006780985>
<hgeokg/resource/2716231269>	<hgeokg/schema/website>	website-https://www.target.com/sl/times-square-42nd-street/3385
<hgeokg/resource/266034056>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149332>
<hgeokg/resource/266149365>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149336>
<hgeokg/resource/163474780>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/266170800>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/167922072>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/163474780>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/5041140405>
<hgeokg/resource/226041026>	<Line_roads-Adjacent-Line_railway>	<hgeokg/resource/823979090>
<hgeokg/resource/266170758>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/266170751>
<hgeokg/resource/477374247>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/226041025>
<hgeokg/resource/1426250385>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1426275725>
<hgeokg/resource/226041025>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/266149373>
<hgeokg/resource/1899033653>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034056>
<hgeokg/resource/2717543654>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/6262714386>
<hgeokg/resource/5671182>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/569345543>
<hgeokg/resource/813741990>	<Line_railway-Adjacent-Polygon_buildings>	<hgeokg/resource/266034080>
<hgeokg/resource/226041025>	<hgeokg/schema/surface>	surface-asphalt
<hgeokg/resource/4316345593>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/813741990>
<hgeokg/resource/484012802>	<Point_pois-Adjacent-Line_railway>	<hgeokg/resource/1426250385>
<hgeokg/resource/258646144>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/266170825>
<hgeokg/resource/4708888897>	<Point_transport-Adjacent-Point_pois>	<hgeokg/resource/4231956390>
<hgeokg/resource/3974095815>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266170756>
<hgeokg/resource/266149304>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034074>
<hgeokg/resource/266774911>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/226041025>
<hgeokg/resource/266034080>	<hgeokg/schema/nycdoittBin>	nycdoittBin-1024686
<hgeokg/resource/266170756>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/1487449793>
<hgeokg/resource/266170544>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/4661316591>
<hgeokg/resource/2722857810>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266149324>
<hgeokg/resource/266170545>	<Point_pois-Intersect-Polygon_landuse>	<hgeokg/resource/657134182>
<hgeokg/resource/266034056>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/2716231115>
<hgeokg/resource/5987980586>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/266034074>
