<hgeokg/resource/6680686989>	<hgeokg/schema/passengerInformationDisplay>	passengerInformationDisplay-no
<hgeokg/resource/504052619>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/526563436>
<hgeokg/resource/375165500>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/455125048>
<hgeokg/resource/280191078>	<Polygon_buildings-Adjacent-Polygon_buildings>	<hgeokg/resource/265461403>
<hgeokg/resource/818182930>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/226092573>
<hgeokg/resource/710571389>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/710571391>
<hgeokg/resource/169381962>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/169381958>
<hgeokg/resource/6014692936>	<hgeokg/schema/openingHours>	openingHours-Mo-Th 12:00-02:00, Fr 12:00-03:00, Sa 11:30 02:00, Su 11:30-24:00
<hgeokg/resource/265430645>	<Point_pois-Adjacent-Polygon_buildings>	<hgeokg/resource/6206634710>
<hgeokg/resource/5401946308>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/6014692936>
<hgeokg/resource/455122830>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/265460318>
<hgeokg/resource/226092573>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/710571392>
<hgeokg/resource/3708656219>	<hgeokg/schema/openingHours>	openingHours-24/7
<hgeokg/resource/169381958>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/293815463>
<hgeokg/resource/226092573>	<hgeokg/schema/wikipedia>	wikipedia-en:Second Avenue (Manhattan)
<hgeokg/resource/455122830>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/357580621>
<hgeokg/resource/2711248057>	<hgeokg/schema/wheelchair>	wheelchair-yes
<hgeokg/resource/2711248057>	<hgeokg/schema/operatorType>	operatorType-public
<hgeokg/resource/2711248057>	<hgeokg/schema/brandWikipedia>	brandWikipedia-en:United States Postal Service
<hgeokg/resource/265438037>	<http://www.w3.org/2000/01/rdf-schema#label>	Or Olam
