<hgeokg/resource/7393740427>	<hgeokg/schema/operatorType>	operatorType-private
<hgeokg/resource/754763772>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/629934119>
<hgeokg/resource/5670627>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/46526948>
<hgeokg/resource/269239618>	<hgeokg/schema/height>	height-12
<hgeokg/resource/754763772>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/808055023>
<hgeokg/resource/330741647>	<Line_roads-Intersect-Polygon_landuse>	<hgeokg/resource/627805517>
<hgeokg/resource/1673710053>	<hgeokg/schema/brandWikipedia>	brandWikipedia-en:CVS Pharmacy
<hgeokg/resource/269233875>	<hgeokg/schema/brandWikipedia>	brandWikipedia-en:Citibank
<hgeokg/resource/269233875>	<Point_pois-Adjacent-Polygon_landuse>	<hgeokg/resource/330741647>
<hgeokg/resource/526225049>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/627805517>
<hgeokg/resource/357616290>	<hgeokg/schema/gnisFeatureId>	gnisFeatureId-2078977
<hgeokg/resource/5978792515>	<Point_pois-Adjacent-Polygon_landuse>	<hgeokg/resource/330741647>
<hgeokg/resource/1673710053>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/627805515>
<hgeokg/resource/627805515>	<http://www.w3.org/2000/01/rdf-schema#label>	West End Avenue
<hgeokg/resource/526225045>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/68674958>
<hgeokg/resource/5673349>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/195743193>
<hgeokg/resource/269233525>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/526225045>
<hgeokg/resource/526250712>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/269233880>
<hgeokg/resource/627805515>	<hgeokg/schema/tigerReviewed>	tigerReviewed-no
<hgeokg/resource/68668561>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/526221648>
<hgeokg/resource/730279286>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/526250710>
<hgeokg/resource/526225040>	<Point_transport-Adjacent-Line_roads>	<hgeokg/resource/5348407967>
<hgeokg/resource/526250711>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/629934119>
<hgeokg/resource/5670734>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/269233525>
<hgeokg/resource/385108993>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Footway>
<hgeokg/resource/5348407551>	<Point_transport-Adjacent-Line_roads>	<hgeokg/resource/627805516>
<hgeokg/resource/330741647>	<Line_roads-Intersect-Polygon_landuse>	<hgeokg/resource/385108993>
<hgeokg/resource/269233311>	<Polygon_landuse-Adjacent-Polygon_buildings>	<hgeokg/resource/330741647>
<hgeokg/resource/2745038464>	<hgeokg/schema/level>	level-0
<hgeokg/resource/754763780>	<Line_roads-Adjacent-Point_pofw>	<hgeokg/resource/269233879>
<hgeokg/resource/269233875>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/754763780>
<hgeokg/resource/526250712>	<hgeokg/schema/crossing>	crossing-marked
<hgeokg/resource/2745038478>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/808055023>
<hgeokg/resource/730279286>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Footway>
<hgeokg/resource/269233525>	<hgeokg/schema/addrPostcode>	addrPostcode-10023
<hgeokg/resource/808055023>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Primary>
<hgeokg/resource/4224351640>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/627805515>
<hgeokg/resource/221922480>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5670734>
<hgeokg/resource/526221648>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/68674958>
<hgeokg/resource/2745038464>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/754763812>
<hgeokg/resource/730279286>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/526250711>
<hgeokg/resource/269233880>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/754763774>
<hgeokg/resource/68674958>	<hgeokg/schema/tigerNameDirectionPrefix>	tigerNameDirectionPrefix-W
<hgeokg/resource/269235421>	<Line_roads-Adjacent-Point_pois>	<hgeokg/resource/160140199>
<hgeokg/resource/269233877>	<Point_pofw-Adjacent-Polygon_buildings>	<hgeokg/resource/269233879>
<hgeokg/resource/627805512>	<Line_roads-Adjacent-Polygon_landuse>	<hgeokg/resource/330741647>
<hgeokg/resource/37182159>	<hgeokg/schema/bicycle>	bicycle-dismount
<hgeokg/resource/526250712>	<Line_roads-Adjacent-Point_pofw>	<hgeokg/resource/269233879>
<hgeokg/resource/629934119>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5653513693>
<hgeokg/resource/627805516>	<hgeokg/schema/hgv>	hgv-no
<hgeokg/resource/46524959>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/37182159>
<hgeokg/resource/195743193>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5670734>
<hgeokg/resource/754763780>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/526250712>
<hgeokg/resource/754763811>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Footway>
<hgeokg/resource/808055023>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/2745038464>
<hgeokg/resource/269233877>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/754763772>
<hgeokg/resource/526221649>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<hgeokg/schema/Sidewalk>
<hgeokg/resource/5978792515>	<Point_pois-Adjacent-Point_pois>	<hgeokg/resource/5978792123>
<hgeokg/resource/330741647>	<Line_roads-Adjacent-Polygon_landuse>	<hgeokg/resource/627805512>
<hgeokg/resource/5670734>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/5673349>
<hgeokg/resource/1504407883>	<http://www.w3.org/2000/01/rdf-schema#label>	Riverside Park 12
<hgeokg/resource/526225040>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/627805512>
<hgeokg/resource/5670627>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/3606241>
<hgeokg/resource/330741647>	<Polygon_landuse-Adjacent-Polygon_buildings>	<hgeokg/resource/3606241>
<hgeokg/resource/754763772>	<http://www.w3.org/1999/02/22-rdf-syntax-ns#spacetype>	<http://www.opengis.net/ont/sf#Line>
<hgeokg/resource/5653513693>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/754763812>
<hgeokg/resource/221922480>	<Line_roads-Intersect-Point_pois>	<hgeokg/resource/46526948>
<hgeokg/resource/526225040>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/526225045>
<hgeokg/resource/5978792515>	<http://www.w3.org/2000/01/rdf-schema#label>	Jubilee Market Place
<hgeokg/resource/3606241>	<Line_roads-Adjacent-Polygon_buildings>	<hgeokg/resource/5673349>
<hgeokg/resource/730279286>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/269235421>
<hgeokg/resource/385108993>	<Line_roads-Adjacent-Line_roads>	<hgeokg/resource/68674958>
<hgeokg/resource/269233311>	<hgeokg/schema/addrPostcode>	addrPostcode-10023
<hgeokg/resource/37182159>	<hgeokg/schema/lit>	lit-yes
<hgeokg/resource/629934119>	<Line_roads-Adjacent-Point_pofw>	<hgeokg/resource/269233879>
<hgeokg/resource/5978792123>	<Point_pois-Adjacent-Line_roads>	<hgeokg/resource/5673349>
<hgeokg/resource/629934119>	<Line_roads-Intersect-Line_roads>	<hgeokg/resource/526250712>
<hgeokg/resource/526225049>	<hgeokg/schema/covered>	covered-no
